Date,Station,Latitude,Longitude,Elevation,Date,Average Wind Speed,Time of Fastest Wind,Peak Gust Time,Average Temperature,Maximum Temperature,Minimum Temperature,Direction Fastest 2-Minute Wind,Direction Fastest 5-Minute Wind,Fastest 2-Minute Wind Speed,Fastest 2-Minute Wind Speed,"Fog, Ice, Freezing Fog",Heavy Fog or Heavy Freezing Fog,Thunder,"Ice Pellets, Sleet or Small Hail",Hail,Glaze or Rime,"Dust, Volcanic Ash or Blowing Dust",Smoke or Haze,Blowing or Drifting Snow,High or Damaging Winds,Mist,Drizzle,Freezing Drizzle,Rain,Freezing Rain,"Snow, Snow Pellets or Ice Crystals",Unknown Precipitation,Ground Fog,Ice fog or Freezing Fog
87,USW00094846,41.96017,-87.93164,204.8,2010-03-29,6.93,738.0,940.0,,46.0,30.0,10.0,50.0,13.0,23.9,,,,,,,,,,,,,,,,,,,
88,USW00094846,41.96017,-87.93164,204.8,2010-03-30,10.96,2338.0,1529.0,,64.0,29.0,190.0,180.0,19.9,25.9,1.0,,,,,,,,,,1.0,,,,,,,,
89,USW00094846,41.96017,-87.93164,204.8,2010-03-31,14.76,1524.0,1527.0,,77.0,51.0,190.0,210.0,28.0,34.9,,,,,,,,,,,,,,,,,,,
90,USW00094846,41.96017,-87.93164,204.8,2010-04-01,15.21,1542.0,1351.0,,83.0,54.0,190.0,190.0,30.0,38.9,,,,,,,,,,,,,,,,,,,
91,USW00094846,41.96017,-87.93164,204.8,2010-04-02,17.67,1326.0,1451.0,,81.0,59.0,190.0,190.0,36.0,48.1,,,,,,,,,,,,,,,,,,,
92,USW00094846,41.96017,-87.93164,204.8,2010-04-03,11.86,1452.0,1509.0,,59.0,49.0,270.0,270.0,23.9,31.1,1.0,,,,1.0,,,1.0,,,1.0,,,1.0,,,,,
93,USW00094846,41.96017,-87.93164,204.8,2010-04-04,13.65,1443.0,1448.0,,76.0,39.0,200.0,200.0,34.9,45.0,1.0,,1.0,,1.0,,,,,,1.0,,,1.0,,,,,
94,USW00094846,41.96017,-87.93164,204.8,2010-04-05,8.5,2145.0,2144.0,,72.0,50.0,310.0,320.0,47.0,68.0,1.0,,1.0,,1.0,,,1.0,,1.0,,,,1.0,,,,,
95,USW00094846,41.96017,-87.93164,204.8,2010-04-06,8.72,1535.0,1602.0,,76.0,47.0,220.0,230.0,25.1,31.1,1.0,,1.0,,1.0,,,1.0,,,1.0,,,1.0,,,,,
96,USW00094846,41.96017,-87.93164,204.8,2010-04-07,11.41,1744.0,1743.0,,49.0,37.0,20.0,20.0,23.9,28.0,1.0,,,,1.0,,,,,,1.0,,,1.0,,,,,
97,USW00094846,41.96017,-87.93164,204.8,2010-04-08,11.63,723.0,1451.0,,40.0,34.0,310.0,350.0,21.9,29.1,1.0,,,,1.0,,,,,,,,,1.0,,1.0,,,
98,USW00094846,41.96017,-87.93164,204.8,2010-04-09,7.61,1220.0,1219.0,,56.0,30.0,280.0,290.0,16.1,21.0,,,,,,,,,,,,,,,,,,,
99,USW00094846,41.96017,-87.93164,204.8,2010-04-10,11.41,1239.0,1221.0,,74.0,38.0,220.0,210.0,25.9,34.9,,,,,,,,,,,,,,,,,,,
100,USW00094846,41.96017,-87.93164,204.8,2010-04-11,8.05,1416.0,1245.0,,63.0,44.0,70.0,60.0,15.0,25.9,,,,,,,,,,,,,,,,,,,
101,USW00094846,41.96017,-87.93164,204.8,2010-04-12,11.41,2313.0,1955.0,,70.0,44.0,100.0,50.0,19.9,28.0,,,,,1.0,,,,,,,,,1.0,,,,,
102,USW00094846,41.96017,-87.93164,204.8,2010-04-13,12.08,2212.0,1250.0,,63.0,48.0,120.0,70.0,17.9,28.0,,,,,,,,,,,,,,,,,,,
103,USW00094846,41.96017,-87.93164,204.8,2010-04-14,8.5,1750.0,1439.0,,80.0,46.0,110.0,160.0,17.0,21.9,,,,,,,,1.0,,,,,,,,,,,
104,USW00094846,41.96017,-87.93164,204.8,2010-04-15,12.75,1531.0,1015.0,,82.0,61.0,240.0,250.0,23.9,33.1,,,,,,,,1.0,,,,,,,,,,,
105,USW00094846,41.96017,-87.93164,204.8,2010-04-16,12.97,1617.0,1409.0,,68.0,39.0,330.0,320.0,25.1,34.9,,,,,,,,,,,,,,,,,,,
106,USW00094846,41.96017,-87.93164,204.8,2010-04-17,11.41,1343.0,1403.0,,59.0,37.0,320.0,330.0,25.1,31.1,,,,,,,,,,,,,,,,,,,
